Result for strategy NFIX_BB_RPB
============================================================ BACKTESTING REPORT ============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|    ZEC/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |     0     0     0     0 |
|    ZIL/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |     0     0     0     0 |
|   MASK/USDT |      5 |           0.22 |           1.11 |            -3.167 |          -0.32 |         11:08:00 |     4     0     1  80.0 |
|    BTC/USDT |      1 |          -7.55 |          -7.55 |           -32.940 |          -3.29 |  1 day, 23:25:00 |     0     0     1     0 |
|   DODO/USDT |      1 |          -7.77 |          -7.77 |           -34.772 |          -3.48 |  1 day, 16:10:00 |     0     0     1     0 |
|    AVA/USDT |      2 |          -4.83 |          -9.65 |           -36.469 |          -3.65 | 2 days, 13:35:00 |     1     0     1  50.0 |
|    LPT/USDT |      2 |          -4.11 |          -8.22 |           -39.994 |          -4.00 |   1 day, 4:30:00 |     1     0     1  50.0 |
|    LRC/USDT |      1 |         -15.34 |         -15.34 |           -50.375 |          -5.04 |  1 day, 14:50:00 |     0     0     1     0 |
|   AAVE/USDT |      1 |         -11.39 |         -11.39 |           -55.313 |          -5.53 |  2 days, 9:25:00 |     0     0     1     0 |
|    ZEN/USDT |      2 |          -6.42 |         -12.85 |           -65.564 |          -6.56 |          8:00:00 |     1     0     1  50.0 |
|    STX/USDT |      3 |          -7.14 |         -21.43 |          -104.564 |         -10.46 |          9:58:00 |     2     0     1  66.7 |
|   VELO/USDT |     10 |          -4.59 |         -45.86 |          -179.016 |         -17.90 |         14:27:00 |     5     0     5  50.0 |
|       TOTAL |    296 |           1.61 |         475.31 |          1546.724 |         154.67 |          4:49:00 |   273     0    23  92.2 |
================================================================= BUY TAG STATS =================================================================
|               TAG |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|-------------------+--------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|               101 |     84 |           0.93 |          78.12 |           275.403 |          27.54 |         4:56:00 |    75     0     9  89.3 |
|                41 |     10 |           5.22 |          52.16 |           156.996 |          15.70 |         1:23:00 |    10     0     0   100 |
|                23 |     12 |           2.83 |          33.95 |           134.425 |          13.44 |         1:30:00 |    12     0     0   100 |
|                38 |      8 |           3.92 |          31.34 |            92.248 |           9.22 |         1:08:00 |     8     0     0   100 |
|                 9 |      7 |           2.91 |          20.35 |            71.765 |           7.18 |         0:57:00 |     7     0     0   100 |
|                28 |      8 |           2.75 |          21.98 |            70.222 |           7.02 |         2:44:00 |     8     0     0   100 |
|                15 |      5 |           3.56 |          17.80 |            62.884 |           6.29 |         3:14:00 |     5     0     0   100 |
|                32 |      5 |           3.04 |          15.18 |            58.711 |           5.87 |         0:27:00 |     5     0     0   100 |
|                11 |      9 |           1.73 |          15.56 |            56.400 |           5.64 |         0:08:00 |     9     0     0   100 |
|                 3 |      3 |           4.45 |          13.34 |            54.081 |           5.41 |         0:43:00 |     3     0     0   100 |
|                39 |      5 |           3.25 |          16.24 |            48.325 |           4.83 |         0:43:00 |     5     0     0   100 |
|                24 |      6 |           2.19 |          13.14 |            43.538 |           4.35 |        11:18:00 |     5     0     1  83.3 |
|                25 |      5 |           2.96 |          14.79 |            41.884 |           4.19 |        12:07:00 |     5     0     0   100 |
|                 7 |      3 |           3.73 |          11.18 |            41.630 |           4.16 |         3:53:00 |     3     0     0   100 |
|               105 |      5 |           1.95 |           9.73 |            40.101 |           4.01 |         7:51:00 |     5     0     0   100 |
|             16 25 |      2 |           4.37 |           8.73 |            39.884 |           3.99 |         3:45:00 |     2     0     0   100 |
|               103 |      4 |           2.98 |          11.94 |            39.300 |           3.93 |         1:19:00 |     4     0     0   100 |
|                42 |      6 |           2.20 |          13.22 |            39.236 |           3.92 |         9:33:00 |     6     0     0   100 |
|                26 |      9 |           0.97 |           8.73 |            39.209 |           3.92 |        13:14:00 |     8     0     1  88.9 |
|                 1 |      2 |           4.09 |           8.19 |            37.987 |           3.80 |         2:15:00 |     2     0     0   100 |
|                 5 |      8 |           1.64 |          13.12 |            35.616 |           3.56 |         8:04:00 |     7     0     1  87.5 |
|            14 101 |      1 |           7.54 |           7.54 |            30.892 |           3.09 |         1:00:00 |     1     0     0   100 |
|                34 |      3 |           1.83 |           5.48 |            25.182 |           2.52 |         1:05:00 |     3     0     0   100 |
|            27 101 |      2 |           3.47 |           6.94 |            22.520 |           2.25 |         5:05:00 |     2     0     0   100 |
|                40 |      3 |           1.74 |           5.21 |            21.019 |           2.10 |         0:53:00 |     3     0     0   100 |
| 6 10 11 30 32 102 |      1 |           8.16 |           8.16 |            20.524 |           2.05 |         0:10:00 |     1     0     0   100 |
|                16 |      2 |           2.40 |           4.81 |            19.507 |           1.95 |         9:48:00 |     2     0     0   100 |
|             36 38 |      2 |           2.80 |           5.60 |            18.997 |           1.90 |         1:18:00 |     2     0     0   100 |
|                27 |      2 |           3.18 |           6.37 |            18.876 |           1.89 |         3:08:00 |     2     0     0   100 |
|                 8 |      1 |           5.90 |           5.90 |            18.109 |           1.81 |         2:30:00 |     1     0     0   100 |
|                 4 |      2 |           2.69 |           5.38 |            18.032 |           1.80 |         0:45:00 |     2     0     0   100 |
|                10 |      2 |           2.10 |           4.21 |            17.139 |           1.71 |         1:22:00 |     2     0     0   100 |
|              1 32 |      1 |           4.28 |           4.28 |            14.546 |           1.45 |         0:20:00 |     1     0     0   100 |
|             27 38 |      1 |           3.02 |           3.02 |            14.185 |           1.42 |         0:30:00 |     1     0     0   100 |
|             27 36 |      1 |           3.20 |           3.20 |            13.331 |           1.33 |         1:10:00 |     1     0     0   100 |
|                14 |      1 |           3.02 |           3.02 |            13.179 |           1.32 |         3:15:00 |     1     0     0   100 |
|                33 |      4 |           1.05 |           4.22 |            12.579 |           1.26 |         0:44:00 |     4     0     0   100 |
|                22 |      5 |           0.73 |           3.65 |            11.540 |           1.15 |         8:38:00 |     4     0     1  80.0 |
|       6 10 18 101 |      1 |           2.45 |           2.45 |            11.231 |           1.12 |         0:05:00 |     1     0     0   100 |
